,h,e,x,a,c,o,type
2767,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
2768,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2769,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2770,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2771,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
2772,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2773,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2774,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2775,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2776,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2777,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
2778,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
2779,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
2780,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2781,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
2782,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
2783,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2784,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2785,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2786,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2787,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2788,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2789,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
2790,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
2791,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2792,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2793,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2794,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2795,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2796,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2797,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2798,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2799,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2800,-0.30421054,-0.33485812,-0.33493078,-0.27619898,-0.32181072,-0.3159086,ISTJ
2801,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2802,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2803,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2804,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2805,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2806,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2807,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2808,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2809,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2810,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2811,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2812,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2813,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
2814,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2815,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2816,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2817,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2818,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2819,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2820,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2821,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
2822,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2823,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2824,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2825,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2826,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2827,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2828,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2829,-0.021887876,-0.080630615,-0.018369168,-0.0040457845,-0.042146787,-0.04700236,ISFP
2830,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2831,0.031046625,-0.00041333586,0.050270554,0.047028057,0.021851428,0.058420863,INTJ
2832,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2833,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2834,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2835,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2836,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
2837,0.17413418,0.1823058,0.18613851,0.18455611,0.1758327,0.17485556,ISTP
2838,-0.06984396,-0.065873995,-0.03472466,-0.013664551,-0.08138462,-0.06233738,INTP
2839,0.021844722,0.017595284,0.029914498,-0.011663079,-0.007400289,0.003712885,ENFP
2840,-0.03480816,0.008179154,0.016204856,0.0014436617,0.03248715,-0.009364948,ISFJ
2841,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2842,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2843,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2844,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2845,0.031167686,-0.016246188,0.0067409575,0.06438259,0.036675483,0.071129635,ESFP
2846,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2847,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2848,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2849,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2850,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2851,-0.16040143,-0.23301345,-0.21883097,-0.181458,-0.24125476,-0.15130268,ENFJ
2852,0.089677244,0.11640066,0.123025626,0.10723581,0.075457454,0.08342588,INFP
2853,0.2261462,0.27583906,0.25149798,0.18290448,0.21394184,0.24788232,ENTP
2854,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
2855,0.09481177,0.09846595,0.04217674,0.07742868,0.08169306,0.067246184,INFJ
